Store,Week,Quant,Price,Deal
2,1,14016,4.09,1
2,2,21504,3.59,1
2,3,33024,3.14,1
2,4,8896,3.64,1
2,5,12736,4.09,0
2,6,20928,3.54,1
2,7,70272,3.54,1
2,8,36928,3.54,1
2,9,34304,4.09,0
2,10,10880,4.09,1
2,11,76416,3.54,0
2,12,9024,4.09,1
2,13,65024,3.14,1
2,14,18176,3.99,0
2,15,46912,3.19,1
2,16,13184,3.99,1
2,17,41408,3.19,1
2,18,28288,3.19,1
2,19,9280,4.09,0
2,20,26752,3.44,1
2,21,8320,4.04,0
2,22,8960,4.04,1
2,23,39360,3.24,1
2,24,22208,2.93,1
2,25,8576,4.04,1
2,26,14272,4.04,1
2,27,46720,3.24,1
2,28,21568,3.24,1
2,29,25856,3.24,1
2,30,49088,3.79,1
2,31,24960,3.34,1
2,32,16384,3.34,1
2,33,27554,3.34,0
2,34,22720,4.04,1
2,35,23552,3.79,1
2,36,55616,3.24,0
2,37,17472,3.79,1
2,38,37696,3.18,0
2,39,19392,3.6,1
2,40,10688,3.77,0
2,41,12544,3.68,1
2,42,11264,3.68,1
2,43,10880,3.68,1
2,44,8448,3.68,1
2,45,65152,3.54,1
2,46,40448,3.59,1
2,47,43200,3.05,0
2,48,16320,3.31,1
2,49,16960,3.59,1
2,50,20544,3.51,1
2,51,42240,3.22,1
2,52,29120,3.09,1
2,53,28288,2.97,1
2,54,61440,2.89,1
2,55,26624,3.04,1
2,56,9344,3.84,0
2,57,17920,3.49,0
2,58,63744,3.34,1
2,59,29120,2.79,1
2,60,10432,3.84,0
2,61,46528,3.24,0
2,62,29120,3.14,1
2,63,33792,3.19,1
2,64,25664,3.09,1
2,65,161024,3.4,1
2,66,34496,3.31,1
2,67,14592,3.82,1
2,68,7040,4.13,0
2,69,11776,3.57,0
2,70,27904,3.34,1
2,71,13184,4.01,0
2,72,20672,3.86,0
2,73,8896,4.1,0
2,74,19648,3.99,1
2,75,67392,3.68,1
2,76,25024,3.63,1
2,77,48192,3.53,1
2,78,38656,3.59,1
2,79,28736,3.38,1
2,80,33728,3.54,0
2,81,8576,4.13,0
2,82,5440,4.13,0
2,83,6528,4.11,0
2,84,72640,3.84,1
2,85,9600,3.77,0
2,86,23040,3.39,1
2,87,27456,3.38,1
2,88,28736,3.26,1
2,89,11840,3.81,1
2,90,17088,3.72,0
2,91,28864,3.55,0
2,92,7808,3.87,1
2,93,18112,3.49,1
2,94,30272,3.45,1
2,95,7296,3.98,0
2,96,11904,3.75,0
2,97,18432,3.58,1
2,98,9600,3.98,0
2,99,63808,3.38,0
2,100,22656,3.4,0
2,101,13184,3.82,0
2,102,31552,3.52,1
2,103,16576,3.6,1
2,104,43136,3.27,0
14,1,15296,4.09,1
14,2,20480,3.59,1
14,3,38016,3.14,1
14,4,15936,3.64,1
14,5,11264,4.09,0
14,6,25472,3.54,1
14,7,51392,3.54,1
14,8,19968,3.54,1
14,9,9664,4.09,0
14,10,9664,4.09,1
14,11,34944,3.69,0
14,12,4672,4.09,1
14,13,64576,3.14,1
14,14,14400,3.99,0
14,15,33984,3.19,1
14,16,14592,3.99,1
14,17,40064,3.19,1
14,18,21952,3.19,1
14,19,2432,4.09,0
14,20,29120,3.44,1
14,21,9920,4.04,0
14,22,11648,4.04,1
14,23,51776,3.24,1
14,24,26048,2.93,1
14,25,10880,4.04,1
14,26,14016,4.04,1
14,27,40448,3.24,1
14,28,21888,3.24,1
14,29,25600,3.24,1
14,30,49344,3.79,1
14,31,33600,3.34,1
14,32,17984,3.34,1
14,33,11456,4.04,0
14,34,30272,4.04,1
14,35,32128,3.79,1
14,36,74816,3.19,0
14,37,24256,3.79,1
14,38,46976,3.09,1
14,39,23936,3.64,1
14,40,14336,3.84,0
14,41,20544,3.68,1
14,42,19264,3.68,1
14,43,18560,3.68,1
14,44,13120,3.68,1
14,45,69888,3.53,1
14,46,48576,3.58,1
14,47,71424,3.24,0
14,48,20352,3.59,0
14,49,20416,3.59,0
14,50,23232,3.59,1
14,51,48768,3.44,1
14,52,30912,3.04,1
14,53,34816,3.44,1
14,54,53376,2.89,1
14,55,33728,2.89,1
14,56,13568,3.84,0
14,57,19584,3.84,0
14,58,64128,3.34,0
14,59,55232,2.74,1
14,60,13376,3.84,1
14,61,59968,3.24,1
14,62,40640,3.14,1
14,63,30144,3.14,1
14,64,26752,3.43,1
14,65,129152,3.59,1
14,66,38720,3.25,1
14,67,19776,3.78,1
14,68,13440,4.13,0
14,69,17792,4.13,0
14,70,49984,3.34,1
14,71,16832,4.13,1
14,72,16064,4.13,0
14,73,13632,4.13,1
14,74,4224,3.99,0
14,75,88320,3.64,1
14,76,40128,3.78,1
14,77,75776,3.53,1
14,78,45184,3.59,1
14,79,32064,3.34,1
14,80,46272,3.54,1
14,81,15488,4.13,1
14,82,10752,4.13,1
14,83,12288,4.13,0
14,84,92032,3.84,1
14,85,16320,4.13,1
14,86,33472,3.39,1
14,87,57152,3.59,1
14,88,2304,3.24,1
14,89,18240,3.78,1
14,90,13568,4.07,0
14,91,35584,3.87,0
14,92,12672,4.18,1
14,93,33536,3.87,1
14,94,40192,3.39,1
14,95,12992,4.18,0
14,96,19264,4.18,0
14,97,40000,3.67,1
14,98,11968,4.18,0
14,99,95488,3.47,0
14,100,45760,3.7,0
14,101,14976,4.08,0
14,102,44928,3.61,1
14,103,30464,3.61,1
14,104,49088,3.97,0
32,1,23488,4.09,1
32,2,34496,3.59,1
32,3,90240,3.14,1
32,4,37376,3.64,1
32,5,17344,4.09,0
32,6,47680,3.54,1
32,7,129280,3.54,1
32,8,39296,3.54,1
32,9,20928,4.09,0
32,10,14080,4.09,1
32,11,77696,3.69,0
32,12,11264,4.09,1
32,13,76224,3.14,1
32,14,19520,3.99,0
32,15,86912,3.19,1
32,16,26944,3.99,1
32,17,91072,3.19,1
32,18,33984,3.19,1
32,19,14464,4.09,0
32,20,47744,3.44,1
32,21,11712,4.04,0
32,22,12736,4.04,1
32,23,96384,3.24,1
32,24,26880,2.93,1
32,25,13696,4.04,1
32,26,38080,4.04,1
32,27,58112,3.24,1
32,28,39232,3.24,1
32,29,42816,3.24,1
32,30,89280,3.79,1
32,31,46400,3.34,1
32,32,28608,3.34,1
32,33,13952,4.04,0
32,34,17856,4.04,1
32,35,53504,3.79,1
32,36,94400,3.24,0
32,37,24064,3.79,1
32,38,76608,3.09,1
32,39,19712,3.64,1
32,40,13120,3.84,0
32,41,21248,3.68,1
32,42,18432,3.68,1
32,43,20416,3.68,1
32,44,20160,3.68,1
32,45,117568,3.53,1
32,46,68352,3.58,1
32,47,109440,3.24,0
32,48,27136,3.59,0
32,49,20864,3.59,0
32,50,24512,3.59,1
32,51,90880,3.44,1
32,52,43520,3.04,1
32,53,36864,3.44,1
32,54,116992,2.89,1
32,55,44416,2.89,1
32,56,13824,3.84,0
32,57,21376,3.84,0
32,58,128064,3.34,0
32,59,57344,2.74,1
32,60,16512,3.84,1
32,61,93184,3.24,1
